Q01_Age,Q02_Gender_Female,Q02_Gender_Male,Q02_Gender_Other,Q02_Gender_Prefer not to say,Q03_Status_Employed,Q03_Status_Student,Q03_Status_Unemployed,Q04_DailyPhoneTime,Q04_DailyPhoneTime_num,Q05_CheckFrequency,Q05_CheckFrequency_num,Q06_AfterWakeCheck,Q06_AfterWakeCheck_num,Q07_After11PMUse,Q07_After11PMUse_num,Q08_StopUseAtNight,Q08_StopUseAtNight_num,Q09_App_Gaming,Q09_App_Messaging,Q09_App_ProductivityStudy,Q09_App_Shopping,Q09_App_SocialMedia,Q09_App_VideoStreaming,Q09_App_WebBrowsing,Q09_TopAppCategories,Q10_SocialMediaTime,Q10_SocialMediaTime_num,Q11_PhoneDuringMeals,Q11_PhoneDuringMeals_num,Q12_PhoneDuringWorkClass,Q12_PhoneDuringWorkClass_num,Q13_CheckDuringTasks,Q13_CheckDuringTasks_num,Q14_NotificationsInterrupt,Q14_NotificationsInterrupt_num,Q15_UseWhenBored,Q15_UseWhenBored_num,Q16_UseWhenStressed,Q16_UseWhenStressed_num,Q17_DistractNegativeEmotions,Q17_DistractNegativeEmotions_num,Q18_PhoneInBed,Q18_PhoneInBed_num,Q19_PhoneDelaysSleep,Q19_PhoneDelaysSleep_num,Q20_NotificationsWakeNight,Q20_NotificationsWakeNight_num,Q21_WakeToCheckPhone,Q21_WakeToCheckPhone_num,Q22_UnlockWithoutReason,Q22_UnlockWithoutReason_num,Q23_UseLongerThanIntended_A,Q23_UseLongerThanIntended_A_num,Q24_FailToReduceUse,Q24_FailToReduceUse_num,Q25_MissPlannedWork,Q25_MissPlannedWork_num,Q26_ConcentrationProblems,Q26_ConcentrationProblems_num,Q27_PhysicalPain,Q27_PhysicalPain_num,Q28_CannotStandWithoutPhone,Q28_CannotStandWithoutPhone_num,Q29_ImpatientWithoutPhone,Q29_ImpatientWithoutPhone_num,Q30_PhoneOnMyMind,Q30_PhoneOnMyMind_num,Q31_WontGiveUpPhone,Q31_WontGiveUpPhone_num,Q32_ConstantChecking,Q32_ConstantChecking_num,Q33_UseLongerThanIntended_B,Q33_UseLongerThanIntended_B_num,Q34_OthersSayTooMuchUse,Q34_OthersSayTooMuchUse_num,Q35_PHQ1_Interest,Q35_PHQ1_Interest_num,Q36_PHQ2_Down,Q36_PHQ2_Down_num,Q37_PHQ3_Sleep,Q37_PHQ3_Sleep_num,Q38_PHQ4_Tired,Q38_PHQ4_Tired_num,Q39_PHQ5_Appetite,Q39_PHQ5_Appetite_num,Q40_PHQ6_SelfWorth,Q40_PHQ6_SelfWorth_num,Q41_PHQ7_Concentration,Q41_PHQ7_Concentration_num,Q42_PHQ8_RestlessSlow,Q42_PHQ8_RestlessSlow_num,Q43_PHQ9_SelfHarm,Q43_PHQ9_SelfHarm_num,PHQ9_10plus,PHQ9_Total,Timestamp
24.0,False,True,False,False,False,True,False,2 to 4 hours,2,20 to 50,2,Within 5 minutes,3,Sometimes,3,11pm to 12am,3,0,1,1,0,0,0,1,"Messaging, Productivity or study, Web browsing",Less than 30 minutes,1,Often,4,Rarely,2,Rarely,2,Rarely,2,Often,4,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Never,1,Never,1,Rarely,2,Sometimes,3,Sometimes,3,Disagree,2,Disagree,2,Strongly disagree,1,Disagree,2,Strongly disagree,1,Strongly disagree,1,Disagree,2,Disagree,2,Weakly agree,4,Disagree,2,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,0,15/03/2026 19:26:41
25.0,False,True,False,False,False,True,False,6 to 8 hours,4,More than 100,4,Immediately,4,Almost every night,5,After 1am,5,1,0,0,0,1,1,0,"Social media, Video or streaming, Gaming",2 to 4 hours,4,Always,5,Sometimes,3,Always,5,Always,5,Always,5,Always,5,Always,5,Always,5,Always,5,Rarely,2,Rarely,2,Always,5,Always,5,Always,5,Agree,5,Strongly agree,6,Weakly agree,4,Strongly agree,6,Weakly agree,4,Weakly agree,4,Weakly agree,4,Strongly agree,6,Strongly agree,6,Weakly disagree,3,Nearly every day,3,Several days,1,Nearly every day,3,Nearly every day,3,Nearly every day,3,Not at all,0,Nearly every day,3,Nearly every day,3,Not at all,0,1,19,15/03/2026 19:39:00
26.0,False,True,False,False,True,False,False,4 to 6 hours,3,20 to 50,2,Within 5 minutes,3,Rarely,2,10pm to 11pm,2,0,0,0,0,1,0,0,Social media,2 to 4 hours,4,Sometimes,3,Rarely,2,Sometimes,3,Rarely,2,Always,5,Sometimes,3,Rarely,2,Often,4,Sometimes,3,Rarely,2,Never,1,Sometimes,3,Often,4,Sometimes,3,Disagree,2,Disagree,2,Strongly disagree,1,Agree,5,Weakly disagree,3,Strongly disagree,1,Disagree,2,Disagree,2,Agree,5,Strongly disagree,1,Not at all,0,Not at all,0,Several days,1,Several days,1,Not at all,0,Several days,1,Several days,1,Not at all,0,Several days,1,0,5,15/03/2026 19:48:22
24.0,False,False,True,False,True,False,False,6 to 8 hours,4,20 to 50,2,Immediately,4,Often,4,12am to 1am,4,0,1,0,0,1,1,0,"Social media, Messaging, Video or streaming",More than 4 hours,5,Often,4,Often,4,Sometimes,3,Sometimes,3,Always,5,Often,4,Sometimes,3,Always,5,Sometimes,3,Sometimes,3,Sometimes,3,Rarely,2,Rarely,2,Rarely,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,1,15/03/2026 19:48:31
24.0,False,True,False,False,False,True,False,More than 8 hours,5,50 to 100,3,Immediately,4,Almost every night,5,After 1am,5,0,0,0,0,1,1,1,"Social media, Video or streaming, Web browsing",2 to 4 hours,4,Always,5,Often,4,Always,5,Often,4,Always,5,Always,5,Always,5,Always,5,Always,5,Never,1,Never,1,Always,5,Always,5,Always,5,Disagree,2,Weakly disagree,3,Strongly disagree,1,Weakly agree,4,Weakly disagree,3,Strongly disagree,1,Agree,5,Disagree,2,Agree,5,Strongly disagree,1,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,1,15/03/2026 19:50:08
25.0,False,True,False,False,False,True,False,4 to 6 hours,3,More than 100,4,Immediately,4,Almost every night,5,After 1am,5,0,1,0,1,1,0,0,"Social media, Messaging, Shopping",Less than 30 minutes,1,Sometimes,3,Rarely,2,Often,4,Always,5,Sometimes,3,Sometimes,3,Never,1,Always,5,Always,5,Never,1,Never,1,Always,5,Sometimes,3,Never,1,Agree,5,Strongly disagree,1,Strongly disagree,1,Strongly agree,6,Weakly disagree,3,Strongly disagree,1,Agree,5,Weakly agree,4,Weakly agree,4,Disagree,2,Several days,1,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,2,15/03/2026 19:50:36
25.0,False,True,False,False,False,True,False,2 to 4 hours,2,20 to 50,2,Within 5 minutes,3,Often,4,After 1am,5,0,0,0,1,1,0,1,"Social media, Web browsing, Shopping",30 to 60 minutes,2,Often,4,Rarely,2,Rarely,2,Sometimes,3,Often,4,Often,4,Often,4,Sometimes,3,Often,4,Never,1,Never,1,Rarely,2,Often,4,Sometimes,3,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Disagree,2,Disagree,2,Strongly disagree,1,Strongly disagree,1,Agree,5,Weakly disagree,3,Strongly disagree,1,Several days,1,Not at all,0,Not at all,0,More than half the days,2,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,3,15/03/2026 19:54:54
24.0,False,False,False,True,False,True,False,4 to 6 hours,3,Less than 20,1,Within 5 minutes,3,Almost every night,5,11pm to 12am,3,0,1,1,0,1,0,0,"Social media, Messaging, Productivity or study",1 to 2 hours,3,Sometimes,3,Always,5,Always,5,Always,5,Often,4,Rarely,2,Rarely,2,Sometimes,3,Sometimes,3,Never,1,Rarely,2,Never,1,Rarely,2,Rarely,2,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly agree,6,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Weakly disagree,3,Strongly disagree,1,More than half the days,2,Nearly every day,3,Several days,1,Nearly every day,3,Not at all,0,Nearly every day,3,Nearly every day,3,Not at all,0,Not at all,0,1,15,15/03/2026 20:01:02
25.0,False,True,False,False,False,True,False,2 to 4 hours,2,20 to 50,2,Immediately,4,Almost every night,5,After 1am,5,0,1,0,0,1,0,1,"Social media, Messaging, Web browsing",30 to 60 minutes,2,Often,4,Sometimes,3,Rarely,2,Rarely,2,Often,4,Often,4,Often,4,Always,5,Often,4,Never,1,Never,1,Rarely,2,Sometimes,3,Rarely,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Weakly agree,4,Strongly disagree,1,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,1,15/03/2026 20:20:04
24.0,True,False,False,False,True,False,False,4 to 6 hours,3,Less than 20,1,5 to 30 minutes,2,Often,4,After 1am,5,0,1,1,0,1,0,0,"Social media, Messaging, Productivity or study",30 to 60 minutes,2,Sometimes,3,Rarely,2,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Often,4,Never,1,Never,1,Sometimes,3,Often,4,Sometimes,3,Weakly disagree,3,Strongly disagree,1,Strongly disagree,1,Weakly disagree,3,Strongly disagree,1,Disagree,2,Strongly disagree,1,Disagree,2,Weakly agree,4,Strongly disagree,1,Not at all,0,Several days,1,Several days,1,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,0,3,15/03/2026 20:44:26
23.0,True,False,False,False,False,True,False,4 to 6 hours,3,20 to 50,2,5 to 30 minutes,2,Almost every night,5,12am to 1am,4,0,1,0,0,1,0,1,"Social media, Messaging, Web browsing",30 to 60 minutes,2,Rarely,2,Sometimes,3,Often,4,Rarely,2,Always,5,Often,4,Sometimes,3,Always,5,Rarely,2,Rarely,2,Never,1,Sometimes,3,Sometimes,3,Sometimes,3,Disagree,2,Weakly agree,4,Disagree,2,Strongly agree,6,Weakly disagree,3,Disagree,2,Weakly disagree,3,Disagree,2,Weakly agree,4,Disagree,2,Several days,1,More than half the days,2,Several days,1,Several days,1,Not at all,0,More than half the days,2,Not at all,0,Not at all,0,Not at all,0,0,7,15/03/2026 22:59:54
22.0,True,False,False,False,False,True,False,4 to 6 hours,3,More than 100,4,Immediately,4,Sometimes,3,11pm to 12am,3,0,1,0,0,1,0,1,"Social media, Messaging, Web browsing",1 to 2 hours,3,Never,1,Rarely,2,Often,4,Often,4,Often,4,Often,4,Often,4,Often,4,Always,5,Never,1,Never,1,Often,4,Always,5,Often,4,Agree,5,Weakly agree,4,Strongly disagree,1,Disagree,2,Disagree,2,Weakly agree,4,Disagree,2,Weakly agree,4,Strongly agree,6,Agree,5,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Several days,1,Not at all,0,Not at all,0,0,2,15/03/2026 23:02:11
23.0,True,False,False,False,False,True,False,4 to 6 hours,3,50 to 100,3,Immediately,4,Almost every night,5,After 1am,5,1,1,0,0,1,0,0,"Social media, Messaging, Gaming",2 to 4 hours,4,Often,4,Rarely,2,Often,4,Often,4,Always,5,Often,4,Often,4,Always,5,Often,4,Never,1,Never,1,Often,4,Often,4,Often,4,Disagree,2,Weakly agree,4,Strongly agree,6,Disagree,2,Disagree,2,Disagree,2,Disagree,2,Weakly agree,4,Agree,5,Disagree,2,Not at all,0,Several days,1,More than half the days,2,More than half the days,2,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,5,15/03/2026 23:03:58
24.0,False,True,False,False,False,True,False,4 to 6 hours,3,50 to 100,3,Immediately,4,Almost every night,5,12am to 1am,4,0,0,0,0,1,1,0,"Social media, Video or streaming",1 to 2 hours,3,Sometimes,3,Often,4,Often,4,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,Always,5,Often,4,Never,1,Never,1,Rarely,2,Sometimes,3,Sometimes,3,Strongly disagree,1,Disagree,2,Weakly disagree,3,Agree,5,Weakly disagree,3,Disagree,2,Weakly agree,4,Disagree,2,Agree,5,Strongly disagree,1,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,1,15/03/2026 23:08:24
22.0,True,False,False,False,False,True,False,More than 8 hours,5,20 to 50,2,Immediately,4,Almost every night,5,12am to 1am,4,1,1,0,0,1,0,0,"Social media, Messaging, Gaming",More than 4 hours,5,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,Always,5,Often,4,Often,4,Always,5,Rarely,2,Never,1,Never,1,Rarely,2,Often,4,Sometimes,3,Agree,5,Disagree,2,Weakly agree,4,Disagree,2,Disagree,2,Disagree,2,Weakly disagree,3,Disagree,2,Weakly agree,4,Weakly disagree,3,More than half the days,2,More than half the days,2,Nearly every day,3,More than half the days,2,Not at all,0,More than half the days,2,Not at all,0,Not at all,0,More than half the days,2,1,13,15/03/2026 23:09:40
22.0,True,False,False,False,False,True,False,6 to 8 hours,4,More than 100,4,Immediately,4,Almost every night,5,After 1am,5,0,1,0,0,1,1,0,"Social media, Messaging, Video or streaming",2 to 4 hours,4,Sometimes,3,Sometimes,3,Always,5,Sometimes,3,Always,5,Always,5,Sometimes,3,Always,5,Always,5,Never,1,Never,1,Rarely,2,Sometimes,3,Sometimes,3,Weakly disagree,3,Disagree,2,Agree,5,Disagree,2,Disagree,2,Strongly disagree,1,Strongly disagree,1,Disagree,2,Weakly disagree,3,Disagree,2,Several days,1,Not at all,0,More than half the days,2,Several days,1,Several days,1,Nearly every day,3,Several days,1,Not at all,0,Several days,1,1,10,16/03/2026 00:18:04
25.0,False,True,False,False,False,True,False,More than 8 hours,5,20 to 50,2,Immediately,4,Almost every night,5,12am to 1am,4,0,1,0,0,1,0,1,"Social media, Messaging, Web browsing",2 to 4 hours,4,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,Always,5,Rarely,2,Rarely,2,Always,5,Always,5,Never,1,Rarely,2,Sometimes,3,Often,4,Often,4,Weakly agree,4,Weakly agree,4,Disagree,2,Agree,5,Weakly agree,4,Weakly agree,4,Weakly agree,4,Agree,5,Strongly agree,6,Weakly agree,4,Several days,1,Several days,1,Several days,1,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,4,16/03/2026 11:12:18
25.0,False,True,False,False,False,True,False,4 to 6 hours,3,20 to 50,2,5 to 30 minutes,2,Often,4,After 1am,5,0,1,0,0,1,1,0,"Social media, Messaging, Video or streaming",1 to 2 hours,3,Often,4,Often,4,Often,4,Sometimes,3,Often,4,Often,4,Often,4,Often,4,Often,4,Never,1,Never,1,Rarely,2,Often,4,Sometimes,3,Agree,5,Weakly disagree,3,Disagree,2,Agree,5,Weakly agree,4,Disagree,2,Weakly agree,4,Disagree,2,Weakly agree,4,Disagree,2,Not at all,0,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,1,16/03/2026 11:13:22
23.0,True,False,False,False,False,True,False,2 to 4 hours,2,20 to 50,2,Within 5 minutes,3,Almost every night,5,12am to 1am,4,0,1,0,1,1,0,0,"Social media, Messaging, Shopping",1 to 2 hours,3,Rarely,2,Sometimes,3,Often,4,Rarely,2,Often,4,Often,4,Often,4,Often,4,Often,4,Never,1,Never,1,Often,4,Often,4,Sometimes,3,Agree,5,Weakly disagree,3,Weakly disagree,3,Weakly disagree,3,Disagree,2,Disagree,2,Weakly disagree,3,Weakly agree,4,Agree,5,Strongly disagree,1,Not at all,0,Several days,1,Several days,1,Not at all,0,Not at all,0,Several days,1,Several days,1,Not at all,0,Not at all,0,0,4,16/03/2026 11:17:18
24.0,False,True,False,False,False,True,False,6 to 8 hours,4,50 to 100,3,Immediately,4,Almost every night,5,After 1am,5,0,1,0,0,1,0,1,"Social media, Messaging, Web browsing",More than 4 hours,5,Often,4,Often,4,Always,5,Always,5,Always,5,Always,5,Often,4,Always,5,Always,5,Never,1,Rarely,2,Rarely,2,Always,5,Always,5,Strongly disagree,1,Strongly agree,6,Strongly disagree,1,Disagree,2,Disagree,2,Agree,5,Strongly agree,6,Strongly agree,6,Strongly agree,6,Weakly agree,4,Several days,1,Not at all,0,Several days,1,More than half the days,2,Not at all,0,Not at all,0,Several days,1,Not at all,0,Not at all,0,0,5,16/03/2026 12:09:26
25.0,False,True,False,False,True,False,False,6 to 8 hours,4,20 to 50,2,Within 5 minutes,3,Almost every night,5,After 1am,5,0,0,0,0,1,1,0,"Social media, Video or streaming",1 to 2 hours,3,Always,5,Never,1,Sometimes,3,Sometimes,3,Sometimes,3,Often,4,Often,4,Always,5,Always,5,Never,1,Never,1,Rarely,2,Often,4,Rarely,2,Disagree,2,Disagree,2,Strongly disagree,1,Agree,5,Strongly disagree,1,Strongly disagree,1,Disagree,2,Disagree,2,Agree,5,Disagree,2,Not at all,0,Not at all,0,Nearly every day,3,Several days,1,Not at all,0,Not at all,0,Not at all,0,Not at all,0,Not at all,0,0,4,16/03/2026 13:01:57
